,Date,State,Confirmed
0,2020-01-30,Kerala,1
1,2020-01-31,Kerala,1
2,2020-02-01,Kerala,2
3,2020-02-02,Kerala,3
4,2020-02-03,Kerala,3
5,2020-02-04,Kerala,3
6,2020-02-05,Kerala,3
7,2020-02-06,Kerala,3
8,2020-02-07,Kerala,3
9,2020-02-08,Kerala,3
10,2020-02-09,Kerala,3
11,2020-02-10,Kerala,3
12,2020-02-11,Kerala,3
13,2020-02-12,Kerala,3
14,2020-02-13,Kerala,3
15,2020-02-14,Kerala,3
16,2020-02-15,Kerala,3
17,2020-02-16,Kerala,3
18,2020-02-17,Kerala,3
19,2020-02-18,Kerala,3
20,2020-02-19,Kerala,3
21,2020-02-20,Kerala,3
22,2020-02-21,Kerala,3
23,2020-02-22,Kerala,3
24,2020-02-23,Kerala,3
25,2020-02-24,Kerala,3
26,2020-02-25,Kerala,3
27,2020-02-26,Kerala,3
28,2020-02-27,Kerala,3
29,2020-02-28,Kerala,3
30,2020-02-29,Kerala,3
31,2020-03-01,Kerala,3
32,2020-03-02,Telengana,1
33,2020-03-02,Kerala,3
34,2020-03-02,Delhi,1
35,2020-03-03,Telengana,1
36,2020-03-03,Rajasthan,1
37,2020-03-03,Kerala,3
38,2020-03-03,Delhi,1
39,2020-03-04,Uttar Pradesh,6
40,2020-03-04,Kerala,3
41,2020-03-04,Haryana,2
42,2020-03-04,Delhi,1
43,2020-03-04,Telengana,1
44,2020-03-04,Rajasthan,15
45,2020-03-05,Delhi,2
46,2020-03-05,Haryana,2
47,2020-03-05,Kerala,3
48,2020-03-05,Rajasthan,15
49,2020-03-05,Telengana,1
50,2020-03-05,Uttar Pradesh,7
51,2020-03-06,Delhi,3
52,2020-03-06,Haryana,2
53,2020-03-06,Kerala,3
54,2020-03-06,Rajasthan,15
55,2020-03-06,Uttar Pradesh,7
56,2020-03-06,Telengana,1
57,2020-03-07,Kerala,3
58,2020-03-07,Uttar Pradesh,7
59,2020-03-07,Ladakh,2
60,2020-03-07,Telengana,1
61,2020-03-07,Tamil Nadu,1
